gameframe,playerId,event,buildingType,buildingId,x,y
27620,1,construction_site_created,Hunter,0,33,42
27640,1,construction_site_cancelled,Woodcutter,0,19,90
27670,1,constructed,Storehouse,7985,32,77
27736,1,constructed,Barracks,7997,26,14
27820,1,destroyed,Guardhouse,5969,33,44
27820,1,construction_site_created,Woodcutter,0,17,90
27892,1,constructed,Ironsmelter,8019,14,23
27968,1,constructed,Guardhouse,8031,42,21
28080,1,constructed,Barracks,8048,49,49
28240,1,destroyed,Woodcutter,5326,31,54
28420,1,destroyed,Barracks,5960,32,28
28420,1,construction_site_created,Woodcutter,0,12,57
28420,1,construction_site_created,Barracks,0,39,32
28931,1,constructed,Mint,8175,41,23
28939,1,constructed,Watchtower,8177,17,16
28946,1,constructed,Woodcutter,8180,26,16
29020,1,construction_site_created,Storehouse,0,27,12
29060,1,construction_site_created,Watchtower,0,31,11
29120,1,construction_site_created,Fishery,0,30,13
29123,1,constructed,Woodcutter,8216,29,19
29180,1,construction_site_created,Storehouse,0,51,49
29220,1,construction_site_created,Barracks,0,52,42
29240,1,construction_site_created,Hunter,0,50,51
29280,1,construction_site_created,Storehouse,0,45,21
29319,1,constructed,Fishery,8289,25,12
29340,1,construction_site_created,Barracks,0,40,13
29360,1,destroyed,Hunter,6203,15,74
